                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.85344,                0.52135,                 1.1077,                0.93859,                0.94457,                0.97001,                0.74886,                0.84782,                0.42393,                 1.0479,              0.0005546,              0.0005546,              0.0005546
                     75,                0.84253,                 0.5186,                 1.1062,                0.92514,                0.96087,                0.97061,                0.73968,                0.86434,                0.41768,                 1.0622,              0.0005348,              0.0005348,              0.0005348
                     76,                0.85254,                0.51037,                 1.1088,                0.92155,                 0.9587,                0.97372,                0.75566,                0.82795,                0.41108,                 1.0375,               0.000515,               0.000515,               0.000515
                     77,                0.85399,                0.51305,                 1.1054,                0.93556,                0.94684,                0.96933,                0.74666,                0.83509,                0.40684,                 1.0356,              0.0004952,              0.0004952,              0.0004952
                     78,                0.83764,                0.51168,                 1.1006,                 0.9244,                0.95652,                0.97511,                0.74884,                0.84924,                 0.4118,                 1.0446,              0.0004754,              0.0004754,              0.0004754
                     79,                0.84592,                 0.5088,                 1.1029,                0.92839,                0.95832,                0.97355,                0.75088,                0.84125,                0.40612,                 1.0393,              0.0004556,              0.0004556,              0.0004556
                     80,                0.83503,                0.49991,                 1.0981,                0.92762,                0.96126,                0.97446,                0.75332,                0.83943,                0.40178,                 1.0402,              0.0004358,              0.0004358,              0.0004358
                     81,                0.83081,                0.49892,                 1.0996,                0.93201,                0.95761,                0.97449,                0.75219,                0.83934,                0.40679,                 1.0414,               0.000416,               0.000416,               0.000416
                     82,                 0.8239,                0.49462,                 1.0938,                0.93428,                0.95809,                0.97343,                 0.7501,                0.83649,                0.40701,                 1.0443,              0.0003962,              0.0003962,              0.0003962
                     83,                0.83278,                0.50057,                 1.0962,                0.94254,                 0.9449,                0.97311,                0.74882,                0.83622,                0.40417,                 1.0357,              0.0003764,              0.0003764,              0.0003764
                     84,                0.82297,                0.49455,                 1.0916,                0.92785,                0.96445,                0.97251,                0.74965,                0.83031,                0.40688,                 1.0353,              0.0003566,              0.0003566,              0.0003566
                     85,                0.81985,                 0.4901,                 1.0882,                0.93304,                0.96942,                0.97559,                0.75717,                 0.8163,                0.39909,                 1.0253,              0.0003368,              0.0003368,              0.0003368
                     86,                0.81136,                0.48535,                 1.0876,                0.93152,                 0.9611,                0.97772,                0.75347,                0.82786,                0.39563,                 1.0312,               0.000317,               0.000317,               0.000317
                     87,                0.80655,                0.48422,                  1.086,                0.94301,                0.95109,                0.97348,                0.75545,                0.82443,                0.40027,                 1.0337,              0.0002972,              0.0002972,              0.0002972
                     88,                0.81656,                0.48455,                 1.0879,                0.93326,                0.96087,                0.97399,                0.75567,                0.82977,                0.40005,                 1.0342,              0.0002774,              0.0002774,              0.0002774
                     89,                0.80487,                 0.4801,                 1.0791,                0.94755,                0.94249,                 0.9763,                0.75703,                0.82344,                0.39715,                 1.0329,              0.0002576,              0.0002576,              0.0002576
